"Qart","Total","Beg","Be","BoN","BoS","Cns","Ces","Dom","Eic","Gar","Gas","Ham","Hol","Krb","Lmp","Mel","Mlb","Neu","Pfa","Rol","ViH","Wei"
"AUT",2473,75,197,73,220,119,74,41,127,356,98,34,126,195,237,153,21,141,46,88,63,45
"LUX",33924,1073,3445,1196,4232,3184,1560,777,745,1624,2124,639,1679,1292,2658,1526,566,1456,486,1158,1123,637
"ALB",170,5,13,1,15,1,0,2,10,18,10,1,16,20,22,5,4,3,1,12,4,3
"ALG",117,2,5,1,15,5,6,0,2,13,12,0,6,19,9,1,0,4,2,3,1,0
"ALL",3968,114,527,122,315,154,124,137,64,268,142,23,234,299,452,199,86,264,38,125,133,60
"USA",1205,11,206,25,40,52,37,21,10,58,27,11,105,26,245,83,15,61,16,43,67,12
"AUT",347,7,36,10,14,14,11,15,6,28,4,3,29,2,47,10,3,21,2,22,13,8
"BEL",4597,148,485,122,357,165,202,173,1,393,215,47,290,246,419,275,105,261,40,199,168,84
"BOS",366,9,9,11,64,18,6,8,1,39,73,9,10,13,11,18,8,9,9,4,6,10
"BRE",546,15,56,22,79,18,10,10,116,92,18,9,29,11,31,40,5,39,12,10,10,8
"BRI",2214,53,270,64,137,119,50,65,34,182,53,12,123,146,255,95,30,207,14,109,76,65
"BUL",789,14,54,21,51,32,32,3,18,67,29,3,51,124,105,26,8,68,0,35,10,34
"CAM",178,6,13,10,14,1,0,1,4,25,3,1,32,5,15,2,2,19,0,7,6,6
"CAN",239,0,27,10,10,8,7,5,10,29,7,2,26,7,31,18,4,9,4,4,17,2
"CAP",508,11,13,23,115,16,5,12,13,104,45,5,26,14,11,8,2,20,18,9,8,10
"CHI",1164,45,108,22,104,53,30,71,61,3,34,20,83,81,94,59,21,66,2,40,25,19
"CR",423,10,45,19,34,14,11,1,11,110,12,1,36,27,44,35,11,38,3,10,10,8
"CYP",100,1,7,1,2,4,1,5,1,14,5,1,8,16,8,9,2,9,0,0,1,3
"DAN",679,5,98,16,32,71,22,51,13,28,15,6,32,59,99,23,6,22,10,20,34,12
"ESP",3566,74,408,114,281,103,69,34,69,329,82,27,204,396,509,150,50,291,20,132,97,55
"EST",400,12,34,9,9,13,5,7,24,49,13,5,15,52,38,14,5,53,0,9,8,18
"FIN",729,16,71,19,32,44,14,19,16,37,24,3,43,100,90,36,10,84,5,10,20,27
"FRA",20102,545,2352,740,1812,569,937,339,404,2274,1005,164,1386,688,2133,1057,332,874,141,902,778,372
"GRE",1806,85,176,50,107,83,74,68,36,178,43,1,120,161,203,71,36,88,10,70,78,50
"HON",780,27,76,13,34,36,20,21,42,55,31,1,36,90,87,34,16,75,3,23,6,44
"IND",1109,48,103,71,96,46,41,8,20,124,70,28,96,45,52,69,7,78,2,42,22,22
"IRA",145,4,6,3,10,6,1,10,7,26,9,4,8,1,9,8,4,1,1,11,5,6
"IRQ",186,2,17,3,17,0,1,1,6,38,3,5,5,2,44,5,2,1,0,22,6,1
"IRL",800,35,110,22,51,52,14,14,16,70,27,10,33,43,64,35,15,100,7,22,14,26
"ISL",163,0,7,1,0,46,6,4,0,6,1,0,13,9,14,40,0,3,1,2,9,0
"ITA",8024,201,809,324,955,408,266,122,159,733,417,63,522,346,794,438,87,484,82,298,220,150
"JAP",352,2,78,2,10,5,8,6,0,9,25,4,28,8,38,43,0,25,0,25,15,5
"KOS",211,6,11,8,30,0,6,2,13,49,7,5,9,15,2,10,1,8,12,4,2,3
"LET",347,12,30,9,26,14,1,14,7,44,14,0,23,41,26,16,9,28,3,13,9,7
"LIT",539,19,31,13,21,10,20,11,6,43,5,7,28,104,59,13,18,59,7,16,8,37
"MAL",134,3,22,2,24,8,8,5,3,9,5,0,4,13,15,4,1,1,0,1,5,0
"MAR",304,11,24,20,28,10,3,3,10,45,23,4,14,27,21,12,2,14,4,12,6,8
"MAU",119,9,8,5,10,5,11,4,6,24,17,0,3,1,3,2,0,9,0,2,0,0
"MEX",120,3,13,7,3,17,7,0,1,11,3,1,3,8,8,8,0,9,1,2,5,3
"MON",189,14,3,14,36,8,4,7,5,36,12,0,8,5,3,18,0,4,4,6,2,0
"NEL",964,29,114,20,51,44,30,36,23,75,27,8,64,60,112,47,26,80,6,35,32,20
"NEP",141,11,0,11,64,0,6,1,2,20,4,0,4,0,3,5,0,8,0,1,1,2
"NOR",142,4,16,8,5,5,14,4,3,10,6,0,20,2,14,6,0,12,0,4,7,0
"PHI",181,5,19,7,12,15,3,3,10,19,10,0,18,3,21,7,2,5,3,8,6,2
"POL",1562,71,147,34,96,67,48,47,31,133,86,7,92,140,150,72,30,134,8,44,22,80
"POR",12435,487,479,675,2386,363,272,228,495,1849,810,247,817,260,444,473,186,560,191,449,140,307
"ROU",1983,82,148,87,210,44,68,42,52,324,98,6,131,125,127,112,24,122,9,66,39,41
"RUS",827,114,96,15,27,25,36,24,13,79,17,4,38,39,96,56,21,28,3,24,38,9
"SER",332,4,4,17,55,17,9,8,18,45,19,4,23,13,11,31,0,4,9,26,2,3
"SLO",372,23,28,8,24,17,21,11,6,16,4,0,8,67,41,25,8,36,0,16,4,6
"SLV",335,7,35,9,20,11,14,5,7,25,14,2,16,43,31,26,5,35,2,11,5,7
"SUD",980,15,161,33,46,56,33,25,6,67,22,2,63,61,146,55,14,51,10,18,61,12
"SUI",231,3,22,14,14,15,6,6,4,25,13,1,10,9,32,10,3,18,1,4,14,4
"SYR",298,4,5,6,5,0,1,1,13,29,2,2,11,5,42,10,110,0,0,48,1,0
"TCH",485,16,49,15,27,18,27,19,12,25,32,4,33,45,68,17,9,29,2,11,11,11
"THA",130,2,12,5,18,0,6,0,3,14,8,0,10,1,9,5,2,4,0,4,12,1
"TUN",174,9,6,9,17,5,9,4,6,24,11,5,10,12,17,11,1,2,0,8,2,2
"TUR",315,17,28,4,18,18,6,9,6,29,4,4,34,13,39,25,4,26,0,12,8,3
"UKR",309,18,25,5,19,17,17,9,13,39,10,1,19,18,27,22,3,17,1,13,5,5
